"titelen","SDGs","lernergebnisseenUNDlerninhalteen"
"Webtechnologies","4, 9","After passing this module, students will have an overview of the fundamental technologies of the World Wide Web (WWW) and their applications. They comprehend the functionality of the WWW as an overlay network of the Internet and they understand the underlying communication infrastructure and protocols. Beyond that they can name the different generations of the WWW and the current as well as the future development.  Students are able to semantically structure, design and link web content. They can create dynamic web sites. Furthermore they learn how to program server-side applications and how to connect them with the front-end via interfaces. The module is structured as follows: - Foundations - The main parts of the WWW and its evolution over the past decades - Web Pages - The structure and design of web content with HTML and CSS - Web Applications - An overview of JavaScript, the DOM and AJAX  - Architecture and Communication - The foundations of the OSI model with the consideration of the IP, TCP and UDP protocol as well as the explanation of the REST architectural style - Server-side Applications - Creation of back-end applications with Node.js - Selected APIs and Frameworks"
"IMSEM Seminar on Hot Topics in Information Management","4, 9","In this seminar, students will learn how to:  (a) critically read and interpret scientific papers drawn from the data management, database systems, as well as technologies and systems for big data management and data science literature,  (b) give a good scientific presentation that is technically precise, concentrated on the relevant topics, and also enjoyable, and  (c) write a scientific survey based on papers drawn from varying sources, such as contemporary computer science journals and conference proceedings.  In addition, students will learn about state-of-the art and current research topics in data management, database systems, as well as technologies and systems for big data management and data science. Students will initially be assigned a research paper (to be used as a primary source and a starting point). Students will then conduct their own literature search to identify related/supplementary materials (drawn from varying sources, such as books, conference proceedings, and journals). Representative sources, include conferences, such as VLDB, SIGMOD, ICDE, and CIDR as well as journals, such as the ACM Transactions on Database Systems, or the VLDB Journal. The set of “hot” research topics will be announced each term."
"Information Systems and Data Analysis","4, 8, 9","Information systems are fundamental in business and industrial applications. Flight bookings, online shopping, large enterprise resource planning and production control systems are just a few examples. Driving modern economy and science today are individuals with competences in efficient data management and deep data analysis, whose contributions lead to new insights and facilitate decision-making. Upon completion of this course, students will have: (i) mastered basic concepts in information management and relational database management systems (RDBMS), (ii) learned how to develop information models, and (iii) grasped how to formulate queries in relational algebra and express these in SQL. They will be able to describe a data warehouse, compare it to transaction systems, and decide which requirements are essential for a given application profile. Furthermore, they will learn about data analytics using classification & clustering algorithms and apply them to a database using SQL. 1. Architecture of Information Systems 2. Relational Data Model  3. Relational Algebra 4. Query Language SQL  5. Transaction systems 6. Data Warehousing 7. Data Base Management vs Data Streams Management 8. Introduction to Data Science 9. Algorithms for Data Analytics: Classification & Clustering algorithms"
"Communication Systems with Lab Exercise","4, 9","The main qualification of this model is the understanding of modern methods of information transmission. After a successful completion of the module students will know the important theories of models for that topic and they can evaluate and apply them. This module deals with the question of how analog and digital information are processed, transferred or can be stored. Therefore, properties of transmission media and appropriate analog and digital modulation methods are described, which appear in nowadays analog and digital television, radio and general multimedia communications."
"Communication Systems","4, 9","After a successful completion of the module students are able to analyse and evaluate simple transmission paths and their related modulation processes. They have overviews of existing analog modulation techniques and they are able to measure up which modulation processes matches best to the given channel features. This module deals with the question of how analog and digital information are processed, transferred or can be stored. Therefore, properties of transmission media and appropriate analog and digital modulation methods are described, which appear in nowadays analog and digital television, radio and general multimedia communications. "
"Project: Brain-Computer Interfacing","3, 4, 9","Students having successfully participate in this module are capable of independently  - pursue investigations in the field of EEG analysis that are relevant for Brain-Computer Interface research, - plan and conduct the required experimental studies, - evaluate the acquired data using statistical methods, and - interpret the results and present them in a scientific way. This course conveys predominantly  professional (25%), methods (50%), social (20%), systemic (5%) skills. This projects conveys experimental competences of neurotechnology exemplary. Moreover, theoretical skills in signal processing and machine learning are trained practically in hands-on experiments with self acquired data. A typical project is as follows: work out an experimental design for a given hypothesis; implement the experiment and conduct a study (including the acquisition of physiological data) with about 6 participants; investigate the acquire data with standard analysis methods and techniques from machine learning; put the results into perspective given the state-of-the-art and present them as a talk in a written report. Projects are performed in groups of 2 to 4 students. Note: This project is about the practical aspects of Brain-Computer Interfaces. The background about this field of research is given in the lecture Brain-Computer Interfacing""."""
"Computer Security - Small Project","4, 9, 16","1. Understanding of specific features of secure computer systems 2. Knowledge about vulnerabilities of complex computer systems 3. A profound evaluation of the security of complex computer systems Projects will always be customized regarding the students‘ requirements, and offered within the scope of the Computer Security Project. Possible topics include security analysis of embedded systems (routers, smart tvs, set top boxes etc.), protocol analysis and fuzzing, reverse engineering of executables and microkernel/hypervisor improvements."
"Master Project Software Engineering of Embedded Systems","4, 9","Graduates of this module have practical experience with methods and techniques to analyze complex embedded systems. In addition, they have experience with techniques with which the quality or performance of embedded systems can be systematically ensured. They have learned to solve a complex tasks within a team. Embedded systems are often highly complex and safety-critical, for example if they are used in cars, airplanes or avionics. This means that errors can lead to high financial losses or even death or serious injuries. This makes the quality of such systems a major issue and systematic and comprehensive quality assurance techniques are indispensable. In this project, we develop a complex embedded system and use various validation and verification techniques for embedded systems to ensure correctness and performance. As application platform, we use Lego Mindstorm robots."
"Introduction to Computer Science","4, 9","The lecture aims to enable the students to reformulate every-days problems following the object oriented programming paradigm and implement them in a programing language. The course will start with lectures on basic programming and will later on comprise advanced concepts, e.g., polymorphy or inheritance. It also introduces binary-representations of different types of information and basics on operating systems. The lecture should provide students with a fundamental knowledge on computer systems and programming and provide them with the skill to apply them in more advanced lectures and later professional practice. 1) Programming concepts in the either Java (Economics), or C/C++ (Electrical Engineers, Automotive Systems). Students of other subjects can choose the programming language freely.  1) Data types, arrays, strings  2) Names, variables, expressions, skope, references  3) Static methods/Functions  4) conditions, loops and recursions  5) objects, classes, attributes, methods  6) inheritance, constructors, polymorphie, abstract classes 2) Computer basics  1) representation of numbers and characters  2) logic gates, arithmetic units, binary-cells, flip-flops  3) cpu & processes, working memory, operating systems, networks"
"Robotics: Current Topics","4, 9","After attending the module, students have in depth knowledge of specific areas of Robotics under active research. Students are capable of doing literature research and review literature critically. They are able to write papers in a journal or conference format, and can communicate complex matters in oral presentations. Seminar on changing topics from Robotics and related fields of research, e.g. kinematics, dynamics, control, localization, planning, representation learning, heuristics, collision avoidance, computer vision, machine learning, probabilistic robotics."
"Introduction to Programming","4, 9","The students have a basic knowledge of (imperative) programming as well as a familiarity with standard data structures and algorithms. This module teaches basic programming concepts of imperative programming: * Standard concepts of programming languages * Understanding of program flows * Development of small programs * Cost estimation (O notation) * Correctness * Searching and sorting Within the first two weeks of the semester, there will be a C-Course consisting of lectures, tutorials, and computer exercises. During this C course, the students are introduced to C programming using practical examples."
"Formal Languages and Automata","4, 9","Successful participants of this module have learned the basics of mathematical and logical foundations of Theoretical Computer Science; they understand the distinction between syntax and semantics. They have acquired the ability of structured reasoning in the sense of carrying out simple mathematical proofs, and they are able to apply simple abstraction techniques to switch between propositions at different levels of abstraction. They master the treatment of formal languages with their counterparts of grammars, finite automata and push-down automata. They are able to solve respective work tasks alone and in small teams. * sets, logical propositions, proof notation, proof techniques * relations, orders, maps, equivalences, quotients, cardinality * words, languages, expressions * Chomsky-hierarchy, grammars, syntax trees * automata, push-down automata, pumping lemma * non-determinism"
"Computer Organization","4, 9","Students are able to program digital systems using assembly language. They can describe the transformation of a high-level programming language into machine code and its execution on a digital system. Furthermore, they are able to discuss how machine instructions are executed at register transfer level and to develop extensions to such digital systems. They can interpret number representations that are used in digital systems, as well as utilize micro-algorithms to solve the arithmetic operations. Finally, they can present the basic architecture of digital systems, including the hardware/software interface, the memory hierarchy and basic principles of computer organization. The lecture is based on the book Computer Organisation and Design: the Hardware/Software Interface"" by A.P. Patterson and J.L. Hennessy. The following topics are being taught: - Computer arithmetics: number formats (binary, octal and hexadeximal representation, fixed- and floating-point numbers, IEEE754), micro-algorithms for arithmetic operations - Basics of digital design - Structure and operation of a simple arithmetic-logic-unit (ALU) - Basic technologies and components of a computer architecture - Assembly programming (MIPS): assembly language, control flow, adressing - Structure and operation of single- and multi-cycle datapaths (MIPS) - Measuring and evaluating performance (SPEC benchmarks, Amdahl's law) - Introduction to pipelining: concepts, hazards, forwarding - Introduction to caches: structure, multi-way implementations, eviction policies, cache hierarchies"""
"System Programming","4, 9","The students have a solid understanding of machine-oriented programming (system programming) as well as the structure and the functioning of an operating systems. They can explain and reconstruct the theory of concurrent processes, their synchronization and communication as well as the management of resources. They are also able to implement aspects of the theoretical principles prototypically and with the help of small programs in the C programming language. * Concurrency: processes, threads, scheduling * Synchronization and communication * Management of operating resources * Input/output: device independence, drivers * Memory hierarchy: caching and virtualization * Programming: programming techniques, exception and interrupt handling"
"Operating Complex IT Systems","4, 9","Students possess knowledge of current techniques and approaches for planning and building IT infrastructures, dimensionalization, virtualization, high availability, storage-interconnection, aspects of system security and basic organizational processes. This module covers basic components of the IT infrastructure: naming services, identity management mechanisms, resource virtualization, the realization of a common access to system resources, current technologies for SAN via NAS, storage management, network types and technologies, security mechanisms, fault tolerance and monitoring approaches. During the exercises, the concepts and approaches from the lecture are practiced in the context of real-world case examples or existing services on a linux system."
"Algorithms and Data Structures","4, 9","Students have knowledge of the essential data structures and algorithms. They are confident in selecting appropriate algorithms and data structures for a given problem. They have an awareness of the importance of efficiency of algorithms in terms of sustainability. Students have a basic knowledge of object-oriented programming and the ability to efficiently implement algorithms and apply them to problems. * Introduction to object-oriented programming in Java * Complexity classes, Big-O notation * Backtracking  * Greedy algorithms * Branch-and-Bound, Alpha-Beta search * Randomized algorithms * Dynamic programming * Depth- and breadth-first search on graphs, Topological sorting * Minimal spanning trees * Shortest paths (SSSP) * Flow graphs, MaxFlow and MinCut * Heuristic and Approximative Algorithms * Hash Tables"
"Logic","4, 9","Students gain a solid understanding of the rôle logic plays in computer science, including standard applications of logic such as in databases, computer aided verification and artificial intelligence. Students will become acquainted with formalisations in logical languages and will become familiar with formalising properties in logical languages, especially in first-order and propositional logic. They will learn to work with and manipulate formulas and to assess the soundness of formal arguments. * Applications of logic in computer science Propositional logic * Syntax and semantics of propositional logic * Substitution * Logical equivalence and normal forms * The resolution calculus * Algorithmic foundations of modern SAT-solvers and their applications in algorithmics and artificial intelligence First-order predicate logic * Logical structures  * Syntax and semantics of first-order logic * Logical entailment, equivalence and normal forms * Relational algebra and calculus * Sequential calculus * Definability in first-order logic"
"Discrete Structures","4, 9","Students gain familiarity with discrete structures and important methods from discrete mathematics and their applications in computer science. - Combinatorics - Number Theory (with applications to Cryptography) - Graph Theorie - Algebraic Structures"
"Advanced Algorithmics","4, 9","Students who have completed this module can design and analyze algorithms for computational problems arising in various application contexts. When facing a concrete computational problem, they are able to choose, from a wide range of advanced techniques, a strategy to efficiently solve the problem. This includes strategies for solving problems that are computationally hard in the worst case. In particular, the students know about current research topics in algorithmics. Introduction to advanced and modern topics of algorithm design and analysis, with a particular emphasis on coping with presumable worst-case intractability. Particular topics include: - algorithmic game theory, - algorithmic graph theory, - approximation and online algorithms, - computational geometry, - computational social choice, - distributed algorithms, - online algorithms, - parameterized and exact algorithms, - randomized algorithms and analysis, - universal solvers."
"Reactive Systems","4, 9","Successful participants of this module are able to formally specify, model and verify simple concurrent applications. They know how to carry out fixed-point calculations in several different instances, and they can explain and reconstruct the underlying theoretical foundations. They dispose of a solid basic understanding of formal verification tasks that enables them to judge the solvability of such tasks with the acquired techniques. Moreover, that are capable to apply their knowledge and techniques to simple programming examples and algorithms. - state machines - process calculi and languages - transition systems - bisimulation techniques - observational equivalence - interleaving vs concurrency vs parallelism - fixed-point theory  - temporal logics, with and without recursion, syntax and semantics - model checking - linear vs branching time - fairness concepts"
"Computer Organization Lab","4, 9","The students are able to implement digital systems with a hardware description language (VHDL). They can use the corresponding tools to perform behavioral simulations. They are able to implement synchronous and asynchronous hierarchical designs with behavioral and structural descriptions. They know sequential and concurrent language constructs. They also know the structure and the functioning of testbenches and are able to develop them. They have gained practical experience with systematic debugging methodologies for complex digital circuits. - Digital systems implementation with a hardware description language (VHDL) - Basic language constructs in VHDL (hierarchical design, behavioral and structural description, synchronous and asynchronous, as well as sequential and concurrent description) - Implementation of RISC processor components - Simulation of digital systems (practical experience with development tools, design of testbenches, systematic debugging)"
"Software Engineering and Programming Paradigms","4, 9","The students possess the ability to apply methodologies for the systematic development of software. They know techniques of project management and they have a basic knowledge of quality assurance as well as requirements engineering in software projects. They understand the properties and differences of major programming paradigms. Homework assignment for small teams strengthened their social skills. * process models and project management * object-oriented development methods * requirements engineering * components and modularization * behavior modeling * quality assurance (e.g. testing, verification using hoare calculus, metrics) * classification of software by architecture and application * object-oriented programming * model-driven development * functional programming * logic programming"
"Functional Materials for Electrical Applications","7, 9, 11","The students know the basic properties of the most important materials in electrical engineering and electronics and will be able to evaluate them. Furthermore, they will be able to choose the appropriate materials for given requirements or to rate their applicability. The course “Functional Materials for Electrical Applications” covers system aspects and properties of the matter. Content of the course will be: electrical conductors, contacts, semiconductors, superconductors, electrical insulations, magnetic materials, optical materials and their technology, production and aging with applications. In addition, nano materials and future technologies will be teached."
"Power Electronics (6LP)","7, 9, 11","Power electronics enables efficient energy conversion and control. In lectures and practical exercises, students learn the basics of power semiconductors and circuits. After successful completion of the module, they can analyse, evaluate and solve power electronic problems. They can identify and evaluate power electronic components in different applications like electric drives and renewable energy integration. The module Power Electronics covers the physical structure as well as the conduction - and switching behavior of semiconductor devices, which are used in power converters. Basic conversion methods and converter topologies are taught. These conversion systems are used for controlling, e.g. electric drives, renewable energy sources or high-voltage direct current (hvdc) power transmission in the power range of Watts to Megawatts.  Topics:  Power semiconductors: power diode, MOSFET, IGBT, Thyristor, GTO/IGCT. Power electronic circuits: rectifiers and inverters with both line- and self-commutation, dc/dc converters, modern control methods, EMI and Applications Experiments: switching characteristic of power semiconductors, rectifiers and inverters with both line- and self-commutation, dc/dc converter."
"Master Seminar: Operating Complex IT Systems","4, 9","Successful participants of this module have knowledge about recent research results and trends in the domain of operating complex IT systems. Through the work in this seminar the participant will gain methodological skills in preparing literature of current research topics, the scientific writing and the presentation. In this seminar we will follow up on these questions in the area of operating complex IT-Systems by consulting selected research papers and recent textbooks including but not limited to current hot topics such as: Cloud Computing Virtualized Infrastructures Management of large scale computing clusters Big Data Analysis  and Visualization Internet of Things Quality of Service Software Defined Networks Fault Tolerance Checkpointing"
"DBTLAB Database Technology Lab","4, 9","The global data volume is increasing dramatically each year. Understanding how to store, process and manage these huge amounts of data efficiently is a key requirement for software engineers and data analysts in the modern IT world. This lab will teach students the fundamentals of data processing in traditional single-node database systems. During the implementation part of the lab, students will get hands-on experience with important data processing techniques (which are used in a variety of systems today) by implementing several components of a relational database system. In the database technology lab, students will implement several components of a single node relational database system. The actual components to be implemented may vary each year. However, among the prospective components are a parser, a query optimizer, an execution engine, as well as a data storage system and index structures."
"Scientific Computing","4, 9","Students are able to turn everyday problems into the language of mathematics. They know basic algorithms for computation and select an appropriate algorithm for a given mathematical description. They can implement these algorithms, possibly by using appropriate libraries. They understand the limits and resource requirements of the different approaches. Fundamentals of scientific computing: Floating-point numbers, linear systems of equations, linear least squares, non-linear equations, eigenvalues, singular value decomposition, approximation and interpolation, discrete Fourier transformation and FFT, optimization."
"Introduction to Digital Media and Technology","4, 9","The students exhibit  - an understanding of the domain of media informatics as an interdisciplinary field of research and development for information and communication technologies; - basic knowledge on media and modalities as well as their practical deployment in inter-human communication and for human-machine interaction; - knowledge on the design processes of media systems; - skills in the practical deployment of above mentioned knowledge in the design of sample systems; - competencies in the presentation of their skills to others;  - programming foundations for editing audio files and images as well as basics of website development. Fundamental terms; media; modalities; codes; audio; spoken/written speech; images; video; graphics; haptics; multimedia and multimodality; design processes; standards; foundations of programming."
