titelde,SDGs,lernergebnissedeUNDlerninhaltede
Webtechnologien,"4, 9","Studierende, die dieses Modul erfolgreich abschliessen, haben einen ueberblick ueber die grundlegenden Technologien des World Wide Web (WWW) und deren Anwendung. Sie haben Kenntnisse von der Funktionsweise des WWW als Overlay Netz im Internet sowie der zugrunde liegenden Kommunikationsinfrastrukturen und deren Protokolle. Darueber hinaus koennen sie die verschiedenen Generationen des WWW und die gegenwaertigen sowie zukuenftigen Entwicklungen benennen.  Studierende sind in der Lage Webinhalte semantisch zu strukturieren, zu gestalten und miteinander zu verlinken. Es ist ihnen moeglich dynamische Webseiten zu erstellen. Weiterhin lernen sie server-seitige Anwendungen zu programmieren und diese mit dem Front-End ueber Schnittstellen zu verbinden. Das Modul gliedert sich wie folgt: - Grundlagen - Die Hauptbestandteile des WWW und seine evolutionaere Entwicklung waehrend der letzten Jahrzehnte - Webpages - Die Strukturierung und Gestaltung von Web-Inhalten mit HTML und CSS - Webanwendungen - Ein ueberblick ueber JavaScript, das DOM und AJAX - Architektur und Kommunikation - Die Grundlagen des OSI-Modells mit der Betrachtung des IP-, TCP-, UDP- und HTTP-Protokolls sowie die Erklaerung des REST Architekturstils - Server-seitige Anwendungen - Erstellung von Backend-Applikationen mit Node.js - Ausgewaehlte APIs und Frameworks Diese Inhalte werden in der Vorlesung vermittelt und in uebungsgruppen vertieft."
Informationssysteme und Datenanalyse,"4, 9, 11, 17","Informationssysteme bilden die Basis fuer fast alle grossen betrieblichen Anwendungen, von Flugbuchungssystemen ueber Online-Shops bis hin zu Betriebsplanungs- und Steuerungssystemen. Die Faehigkeit, Daten effizient zu verwalten und durch deren Analyse neue Erkenntnisse und Entscheidungen abzuleiten, ist eine Schluesselkompetenz in moderner Wirtschaft und Wissenschaft. Als Teilnehmerinnen dieses Moduls koennen Sie die grundlegenden Konzepte des Informationsmanagements mit (relationalen) Datenbanken benennen, Informationsmodelle entwickeln und Anfragen an eine Datenbank in relationaler Algebra und SQL formulieren. Sie koennen ein Data Warehouse beschreiben und Transaktionssystemen gegenueberstellen und entscheiden, welche Anforderungen ein System fuer eine bestimmtes Anwendungsprofil erfuellen muss. Ferner koennen Sie grundlegende Datenanalysealgorithmen wie Klassifikation-Algorithmen und Clustering-Algorithmen benennen und unter Einsatz der Programmiersprache SQL auf eine Datenbank anwenden. 1. Architektur von Informationssystemen 2. Relationales Modell  3. Relationale Algebra 4. Anfragesprache SQL  5. Transaktionssysteme 6. Data Warehousing 7. Datenbank-Management vs Datenstrom-Management 8. Einfuehrung in die Data Science 9. Datenanalysealgorithmen (Klassifikations- und Clustering-Algorithmen)"
Nachrichtenuebertragung mit Praktikum,"4, 9","Das wesentliche Qualifikationsziel dieses Moduls ist das Verstaendnis von modernen Methoden der Nachrichtenuebertragung. Nach erfolgreichem Abschluss des Moduls kennen die Studierenden die wichtigsten Theorien und Modellvorstellungen aus diesem Themengebiet und koennen diese beurteilen und anwenden. Dieses Modul behandelt die Frage, wie analoge und digitale Information verarbeitet, uebertragen bzw. gespeichert werden koennen. Dazu werden einerseits Eigenschaften von uebertragungsmedien und geeignete analoge und digitale Modulationsverfahren beschrieben, wie sie z.B. im heutigen analogen und digitalen Fernsehen, Rundfunk bzw. bei der allgemeinen Multimediakommunikation zur Anwendung kommen.  "
Nachrichtenuebertragung,"4, 9","Nach dem erfolgreichen Abschluss des Moduls sind die Studierenden in der Lage einfache uebertragungsstrecken und die dazugehoerigen Modulationsverfahren zu analysieren und zu bewerten. Sie haben einen ueberblick ueber existierende analoge Modulationstechniken und koennen abschaetzen, welche Verfahren sich am besten zur Verwendung unter gegebenen Kanaleigenschaften eignen. Dieses Modul behandelt die Frage, wie analoge und digitale Information verarbeitet, uebertragen bzw. gespeichert werden koennen. Dazu werden einerseits Eigenschaften von uebertragungsmedien und geeignete analoge und digitale Modulationsverfahren beschrieben, wie sie z.B. im heutigen analogen und digitalen Fernsehen, Rundfunk bzw. bei der allgemeinen Multimediakommunikation zur Anwendung kommen."
Projekt: Brain-Computer Interfacing,"3, 4, 9","Die Absolventinnen und Absolventen dieses Moduls koennen - Fragestellungen aus dem Bereich der EEG-Analyse, die fuer Brain-Computer Interfacing relevant sind, selbststaendig bearbeiten, - dazu notwendige Laborexperimente planen und durchfuehren, - die Daten auswerten und - ihre Ergebnisse interpretieren und wissenschaftlich praesentieren. In diesem Projekt werden die experimentellen Kompetenzen des Forschungsgebietes exemplarisch vermittelt. Darueberhinaus werden die theoretischen Faehigkeiten in Signalverarbeitung und Klassifikation praktisch an Hand selbst ausgenommener Daten umgesetzt und eingeuebt. Bitte beachten: In diesem Projekt geht es um die praktischen Aspekte von Brain-Computer Interfaces. Der Hintergrund und die Techniken dieses Forschungsgebietes werden in der Vorlesung Brain-Computer Interfacing vermittelt."
Computersicherheit - Kleines Projekt,"4, 9, 16","1. Verstaendnis spezifischer Eigenschaften sicherer Computersysteme 2. Wissen zu Schwachstellen komplexer Computersysteme 3. Erfahrung in der Untersuchung der Sicherheit komplexer Computersysteme Das Projekt wird jeweils an die Anforderungen Studierenden angepasst. Moegliche Themenkomplexen umfassen Analyse der Sicherheit eingebetteter Systeme (Router, smart TVs, ...), Protokollanalyse, Fuzzing, Reverse Engineering existierender Anwendungen und Arbeiten im Bereich HypervisorMikrokernel"
Einfuehrung in die Informatik,"4, 9","Die Studierenden werden in die Lage versetzt, ausgehend von einer Problemstellung ein abstraktes Modell zu bilden und dieses auch objektorientiert in einer Programmiersprache zu implementieren. Hierzu werden elementare Programmiertechniken und die Konzepte der Vererbung vermittelt. Die Studierenden erhalten ein Grundwissen im Umgang mit und ueber den Aufbau von Rechersystemen. Weiter werden die Darstellung von Informationen im Rechner vermittelt. Die Studierenden lernen die Grundlagen von Betriebssystemen kennen. Das vermittelte Grundwissen in Informatik ermoeglich den Studierenden dessen Anwendung im eigenen Studienfach und im spaeteren Berufsleben. 1) Programmieren in der Sprache Java (Economics, Volkswirtschaftslehre), CC++ (Elektrotechnik) oder einer davon nach Wahl (andere Studiengaenge):  1) Datentypen, Arrays, Zeichenketten  2) Bezeichner, Variablen, Ausdruecke, Gueltigkeitsbereiche, Referenzen   3) Statische Methoden, Funktionen  4) Bedingte Ausfuehrung, Schleifen, Rekursionen   5) Objektorientierung, Attribute, Objektmethoden  6) Vererbung, Konstuktoren, Polymorphie, abstrakte Klassen 2) Rechneraufbau:  1) Darstellung von Zahlen und Zeichen im Rechner  2) Logische Schaltungen, Addierer, Speicherzellen, Flip-Flops  3) Rechnersysteme, Prozessor & Prozesse, Arbeitspeicher, Betriebsystem"
Einfuehrung in die Informatik - Vertiefung,"4, 9","Die Studierenden werden befaehigt, komplexe Problemstellungen algorithmisch zu loesen. Hierzu werden fortgeschrittene Methoden der Programmierung in Java vermittelt. Es werden grundlegende Datenstrukturen sowie darauf basierende Algorithmen vermittelt, welche haeufig Rekursionen beinhalten. Die Studierenden lernen, die Effizienz der Algorithmen sowie deren Korrektheit zu beurteilen vor dem Hintergrund der jeweiligen Anwendungsgebiete. Durch Umsetzung der behandelten Algorithmen und Datenstrukturen werden ausserdem die Elemente der Programmiersprache gefestigt. Mit dem vermittelten Wissen koennen die Studierenden komplexe Probleme im eigenen Studienfach und im spaeteren Berufsleben algorithmisch formulieren und anschliessend implementieren. 1. Vertiefung der Programmierung   1. Generische Datentypen   2. Iteratoren   3. Abstrakte Datentypen  2. Datenstrukturen   1. Verkettete Listen, Stacks, Queues   2. Baeume, binaere Suchbaeume, Heaps   3. Graphen  3. Algorithmen   1. Suchen und Sortieren von Feldern   2. Komplexitaetsberechnung von Algorithmen   3. Durchsuchen und Rekonfigurieren von Baeumen   4. Suche nach Elementen und kuerzesten Wegen in Graphen  4. Boolesche Algebra   1. Schaltungsentwurf, Normalformen, Vereinfachungsverfahren"
Robotics: Aktuelle Themen,"4, 9, 11","Die Teilnehmer erwerben vertiefte Kenntnisse in einzelnen Bereichen der aktuellen Forschung bzw. Lehre im Bereich Robotik. Die Studierenden werden befaehigt, relevantes Material zu einem gegeben Thema zu recherchieren, ein Paper im Journal-Format zu schreiben und ihre Ergebnisse in einem Vortrag zu praesentieren. Seminar mit wechselnden Inhalten zu aktuellen Themen aus der Robotik und angrenzenden Bereichen, z.B. Kinematik, Dynamik, Regelung, Lokalisierung, Planung, Representation, Heuristiken, Kollisionsvermeidung, Bildverarbeitung, maschinelles Lernen, Probabilistische Robotik."
Einfuehrung in die Programmierung,"4, 9","Die Studierenden haben Grundkenntnisse der (imperativen) Programmierung sowie Kenntnisse der grundlegenden Datenstrukturen und Algorithmen. Spezifischer: * Studierende sind mit grundlegenden Konzepten von Programmiersprachen vertraut. * Studierende koennen den Ablauf von Programmen nachvollziehen und selbst kleinere Programme entwickeln * Studierende koennen die Komplexitaet (insbesondere die Laufzeit) von Algorithmen exakt (fuer einfache Beispiele) und asymptotisch (O-Notation) abschaetzen. * Studierende koennen Beweise zur Korrektheit von Programmen nachvollziehen und einfachere Beweise selbst fuehren. * Studierende sind mit den Staerken und Schwaechen von einfacheren und fortgeschritteneren Sortieralgorithmen vertraut und koennen mit diesem Wissen die Wahl eines geeigneten Sortieralgorithmus begruenden. In diesem Modul werden grundlegende Programmierkonzepte der imperativen Programmierung vermittelt: * Grundlegende Konzepte von Programmiersprachen * Verstaendnis des Ablaufs von Programmen * Entwicklung kleinerer Programme * Aufwandsabschaetzungen (O-Notation) * Korrektheit * Suchen und Sortieren Innerhalb der ersten beiden Wochen des Semesters findet ein C-Kurs, bestehend aus Vorlesung, Tutorien und Rechneruebungen, statt. Im Rahmen dieses C-Kurses wird anhand praktischer Beispiele in die Programmierung mit C eingefuehrt."
