titelde,SDGs,Descriptions
Webtechnologien,"4,9,8,17,3,5","Lehrergebnisse: Studierende, die dieses Modul erfolgreich abschließen, haben einen Überblick über die grundlegenden Technologien des World Wide Web (WWW) und deren Anwendung. Sie haben Kenntnisse von der Funktionsweise des WWW als Overlay Netz im Internet sowie der zugrunde liegenden Kommunikationsinfrastrukturen und deren Protokolle. Darüber hinaus können sie die verschiedenen Generationen des WWW und die gegenwärtigen sowie zukünftigen Entwicklungen benennen.  Studierende sind in der Lage Webinhalte semantisch zu strukturieren, zu gestalten und miteinander zu verlinken. Es ist ihnen möglich dynamische Webseiten zu erstellen. Weiterhin lernen sie server-seitige Anwendungen zu programmieren und diese mit dem Front-End über Schnittstellen zu verbinden.
Lehrinhalte: Das Modul gliedert sich wie folgt: - Grundlagen - Die Hauptbestandteile des WWW und seine evolutionäre Entwicklung während der letzten Jahrzehnte - Webpages - Die Strukturierung und Gestaltung von Web-Inhalten mit HTML und CSS - Webanwendungen - Ein Überblick über JavaScript, das DOM und AJAX - Architektur und Kommunikation - Die Grundlagen des OSI-Modells mit der Betrachtung des IP-, TCP-, UDP- und HTTP-Protokolls sowie die Erklärung des REST Architekturstils - Server-seitige Anwendungen - Erstellung von Backend-Applikationen mit Node.js - Ausgewählte APIs und Frameworks Diese Inhalte werden in der Vorlesung vermittelt und in Übungsgruppen vertieft."
Informationssysteme und Datenanalyse,"9,8,4,17,3,16","Lehrergebnisse: Informationssysteme bilden die Basis für fast alle großen betrieblichen Anwendungen, von Flugbuchungssystemen über Online-Shops bis hin zu Betriebsplanungs- und Steuerungssystemen. Die Fähigkeit, Daten effizient zu verwalten und durch deren Analyse neue Erkenntnisse und Entscheidungen abzuleiten, ist eine Schlüsselkompetenz in moderner Wirtschaft und Wissenschaft. Als Teilnehmer/innen dieses Moduls können Sie die grundlegenden Konzepte des Informationsmanagements mit (relationalen) Datenbanken benennen, Informationsmodelle entwickeln und Anfragen an eine Datenbank in relationaler Algebra und SQL formulieren. Sie können ein Data Warehouse beschreiben und Transaktionssystemen gegenüberstellen und entscheiden, welche Anforderungen ein System für eine bestimmtes Anwendungsprofil erfüllen muss. Ferner können Sie grundlegende Datenanalysealgorithmen wie Klassifikation-Algorithmen und Clustering-Algorithmen benennen und unter Einsatz der Programmiersprache SQL auf eine Datenbank anwenden.
Lehrinhalte: 1. Architektur von Informationssystemen 2. Relationales Modell  3. Relationale Algebra 4. Anfragesprache SQL  5. Transaktionssysteme 6. Data Warehousing 7. Datenbank-Management vs Datenstrom-Management 8. Einführung in die Data Science 9. Datenanalysealgorithmen (Klassifikations- und Clustering-Algorithmen)"
Nachrichtenübertragung mit Praktikum,"9,4,17,11,5,12","Lehrergebnisse: Das wesentliche Qualifikationsziel dieses Moduls ist das Verständnis von modernen Methoden der Nachrichtenübertragung. Nach erfolgreichem Abschluss des Moduls kennen die Studierenden die wichtigsten Theorien und Modellvorstellungen aus diesem Themengebiet und können diese beurteilen und anwenden.
Lehrinhalte: Dieses Modul behandelt die Frage, wie analoge und digitale Information verarbeitet, übertragen bzw. gespeichert werden können. Dazu werden einerseits Eigenschaften von Übertragungsmedien und geeignete analoge und digitale Modulationsverfahren beschrieben, wie sie z.B. im heutigen analogen und digitalen Fernsehen, Rundfunk bzw. bei der allgemeinen Multimediakommunikation zur Anwendung kommen.  "
Nachrichtenübertragung,"9,4,17,11,7,5","Lehrergebnisse: Nach dem erfolgreichen Abschluss des Moduls sind die Studierenden in der Lage einfache Übertragungsstrecken und die dazugehörigen Modulationsverfahren zu analysieren und zu bewerten. Sie haben einen Überblick über existierende analoge Modulationstechniken und können abschätzen, welche Verfahren sich am besten zur Verwendung unter gegebenen Kanaleigenschaften eignen.
Lehrinhalte: Dieses Modul behandelt die Frage, wie analoge und digitale Information verarbeitet, übertragen bzw. gespeichert werden können. Dazu werden einerseits Eigenschaften von Übertragungsmedien und geeignete analoge und digitale Modulationsverfahren beschrieben, wie sie z.B. im heutigen analogen und digitalen Fernsehen, Rundfunk bzw. bei der allgemeinen Multimediakommunikation zur Anwendung kommen."
Projekt: Brain-Computer Interfacing,"3,4,9,8,17","Lehrergebnisse: Die Absolventinnen und Absolventen dieses Moduls können - Fragestellungen aus dem Bereich der EEG-Analyse, die für Brain-Computer Interfacing relevant sind, selbstständig bearbeiten, - dazu notwendige Laborexperimente planen und durchführen, - die Daten auswerten und - ihre Ergebnisse interpretieren und wissenschaftlich präsentieren.
Lehrinhalte: In diesem Projekt werden die experimentellen Kompetenzen des Forschungsgebietes exemplarisch vermittelt. Darüberhinaus werden die theoretischen Fähigkeiten in Signalverarbeitung und Klassifikation praktisch an Hand selbst ausgenommener Daten umgesetzt und eingeübt. Bitte beachten: In diesem Projekt geht es um die praktischen Aspekte von Brain-Computer Interfaces. Der Hintergrund und die Techniken dieses Forschungsgebietes werden in der Vorlesung Brain-Computer Interfacing"" vermittelt."""
Computersicherheit - Kleines Projekt,"9,4,16,11,17","Lehrergebnisse: 1. Verständnis spezifischer Eigenschaften sicherer Computersysteme 2. Wissen zu Schwachstellen komplexer Computersysteme 3. Erfahrung in der Untersuchung der Sicherheit komplexer Computersysteme
Lehrinhalte: Das Projekt wird jeweils an die Anforderungen Studierenden angepasst. Mögliche Themenkomplexen umfassen Analyse der Sicherheit eingebetteter Systeme (Router, 'smart' TVs, ...), Protokollanalyse, Fuzzing, Reverse Engineering existierender Anwendungen und Arbeiten im Bereich Hypervisor/Mikrokernel"
Einführung in die Informatik,"4,9,8,17,11,1","Lehrergebnisse: Die Studierenden werden in die Lage versetzt, ausgehend von einer Problemstellung ein abstraktes Modell zu bilden und dieses auch objektorientiert in einer Programmiersprache zu implementieren. Hierzu werden elementare Programmiertechniken und die Konzepte der Vererbung vermittelt. Die Studierenden erhalten ein Grundwissen im Umgang mit und über den Aufbau von Rechersystemen. Weiter werden die Darstellung von Informationen im Rechner vermittelt. Die Studierenden lernen die Grundlagen von Betriebssystemen kennen. Das vermittelte Grundwissen in Informatik ermöglich den Studierenden dessen Anwendung im eigenen Studienfach und im späteren Berufsleben.
Lehrinhalte: 1) Programmieren in der Sprache Java (Economics, Volkswirtschaftslehre), C/C++ (Elektrotechnik) oder einer davon nach Wahl (andere Studiengänge):  1) Datentypen, Arrays, Zeichenketten  2) Bezeichner, Variablen, Ausdrücke, Gültigkeitsbereiche, Referenzen   3) Statische Methoden, Funktionen  4) Bedingte Ausführung, Schleifen, Rekursionen   5) Objektorientierung, Attribute, Objektmethoden  6) Vererbung, Konstuktoren, Polymorphie, abstrakte Klassen 2) Rechneraufbau:  1) Darstellung von Zahlen und Zeichen im Rechner  2) Logische Schaltungen, Addierer, Speicherzellen, Flip-Flops  3) Rechnersysteme, Prozessor & Prozesse, Arbeitspeicher, Betriebsystem"
Einführung in die Informatik - Vertiefung,"4,9,8,17,1,11","Lehrergebnisse: Die Studierenden werden befähigt, komplexe Problemstellungen algorithmisch zu lösen. Hierzu werden fortgeschrittene Methoden der Programmierung in Java vermittelt. Es werden grundlegende Datenstrukturen sowie darauf basierende Algorithmen vermittelt, welche häufig Rekursionen beinhalten. Die Studierenden lernen, die Effizienz der Algorithmen sowie deren Korrektheit zu beurteilen vor dem Hintergrund der jeweiligen Anwendungsgebiete. Durch Umsetzung der behandelten Algorithmen und Datenstrukturen werden außerdem die Elemente der Programmiersprache gefestigt. Mit dem vermittelten Wissen können die Studierenden komplexe Probleme im eigenen Studienfach und im späteren Berufsleben algorithmisch formulieren und anschließend implementieren.
Lehrinhalte: 1. Vertiefung der Programmierung   1. Generische Datentypen   2. Iteratoren   3. Abstrakte Datentypen  2. Datenstrukturen   1. Verkettete Listen, Stacks, Queues   2. Bäume, binäre Suchbäume, Heaps   3. Graphen  3. Algorithmen   1. Suchen und Sortieren von Feldern   2. Komplexitätsberechnung von Algorithmen   3. Durchsuchen und Rekonfigurieren von Bäumen   4. Suche nach Elementen und kürzesten Wegen in Graphen  4. Boolesche Algebra   1. Schaltungsentwurf, Normalformen, Vereinfachungsverfahren"
Bachelorarbeit Technische Informatik,"4,8,9,17,1,5","Lehrergebnisse: Die erfolgreich abgeschlossene Bachelorprüfung bildet einen ersten berufsqualifizierenden Hochschulabschluss und die Voraussetzung für ein nachfolgendes Masterstudium. Durch die Bachelorprüfung soll festgestellt werden, ob die Kandidatin/ der Kandidat auf berufliche Tätigkeiten unter Berücksichtigung der Veränderungen in der Berufswelt vorbereitet ist und über die dafür erforderlichen fachlichen Kenntnisse, Fähigkeiten und Methoden so verfügt, dass sie/ er zu professioneller Arbeit, zu kritischem Denken und zu verantwortlichem Handeln befähigt ist.  
Lehrinhalte: In der Bachelorarbeit soll die Kandidatin/der Kandidat zeigen, dass sie/er in der Lage ist, innerhalb einer vorgegebenen Frist ein Problem aus dem Studiengang selbständig nach wissenschaftlichen Methoden zu bearbeiten."
Bachelorarbeit Technische Informatik,"4,8,9,17,1,5","Lehrergebnisse: Die erfolgreich abgeschlossene Bachelorprüfung bildet einen ersten berufsqualifizierenden Hochschulabschluss und die Voraussetzung für ein nachfolgendes Masterstudium. Durch die Bachelorprüfung soll festgestellt werden, ob die Kandidatin/ der Kandidat auf berufliche Tätigkeiten unter Berücksichtigung der Veränderungen in der Berufswelt vorbereitet ist und über die dafür erforderlichen fachlichen Kenntnisse, Fähigkeiten und Methoden so verfügt, dass sie/ er zu professioneller Arbeit, zu kritischem Denken und zu verantwortlichem Handeln befähigt ist.
Lehrinhalte: In der Bachelorarbeit soll die Kandidatin/der Kandidat zeigen, dass sie/er in der Lage ist, innerhalb einer vorgegebenen Frist ein Problem aus dem Studiengang selbständig nach wissenschaftlichen Methoden zu bearbeiten."
